sample	count	Region	mockerrorcount	mockerrorASV	sdx2	length
SynMock.1	524049	V4	2869	35	83	256
SynMock.2	869231	V4	8039	58	346	256
SynMock.3	280139	V4	757	20	32	256
SynMock.4	979696	V4	7397	76	116	256
SynMock.5	1222170	V4	11404	78	146	256
SynMock.6	163255	V4	408	19	15	256
SynMock.7	300153	V4	2276	37	58	256
SynMock.8	487668	V4	8483	34	1787	256
SynMock.9	314788	V4	2578	38	69	256
SynMock.10	487769	V4	2884	35	98	256
SynMock.11	306112	V4	2253	38	57	256
SynMock.12	44564	V3V4	4201	10	471	435
SynMock.13	335942	V3V4	25810	21	3344	435
SynMock.14	394637	V5V6	1771	11	208	251
SynMock.15	423507	V5V6	1331	13	100	251
SynMock.16	118291	V5V6	57	2	10	251
SynMock.17	57869	V3V5	14094	9	1993	559
SynMock.18	60787	V3V5	10566	11	864	559
SynMock.19	108856	V3V5	22890	15	2150	559
SynMock.20	151203	V3V5	33605	12	2867	559
SynMock.21	714886	V3V4	89591	100	6360	435
